car_ID,symboling,CarName,wheelbase,carlength,carwidth,carheight,curbweight,enginetype,cylindernumber,enginesize,fuelsystem,boreratio,stroke,compressionratio,horsepower,peakrpm,citympg,highwaympg,price,fueltype_gas,aspiration_turbo,doornumber_two,carbody_hardtop,carbody_hatchback,carbody_sedan,carbody_wagon,drivewheel_fwd,drivewheel_rwd,enginelocation_rear,price_to_horsepower,price_to_weight,car_brand_audi,car_brand_bmw,car_brand_buick,car_brand_chevrolet,car_brand_dodge,car_brand_honda,car_brand_isuzu,car_brand_jaguar,car_brand_mazda,car_brand_mercury,car_brand_mitsubishi,car_brand_nissan,car_brand_peugeot,car_brand_plymouth,car_brand_porcshce,car_brand_porsche,car_brand_renault,car_brand_saab,car_brand_subaru,car_brand_toyota,car_brand_toyouta,car_brand_vokswagen,car_brand_volkswagen,car_brand_volvo,car_brand_vw,car_model,car_brand_audi,car_brand_bmw,car_brand_buick,car_brand_chevrolet,car_brand_dodge,car_brand_honda,car_brand_isuzu,car_brand_jaguar,car_brand_mazda,car_brand_mercury,car_brand_mitsubishi,car_brand_nissan,car_brand_peugeot,car_brand_plymouth,car_brand_porsche,car_brand_renault,car_brand_saab,car_brand_subaru,car_brand_toyota,car_brand_volkswagen,car_brand_volvo,car_brand
16,0,bmw x4,103.5,189.0,66.9,55.7,3230,ohc,six,209,mpfi,3.62,3.39,8.0,182,5400,16,22,30760.0,True,False,False,False,False,True,False,False,True,False,169.01098901098902,9.523219814241486,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,x4,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,bmw
17,0,bmw x5,103.5,193.8,67.9,53.7,3380,ohc,six,209,mpfi,3.62,3.39,8.0,182,5400,16,22,41315.0,True,False,True,False,False,True,False,False,True,False,227.0054945054945,12.22337278106509,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,x5,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,bmw
18,0,bmw x3,110.0,197.0,70.9,56.3,3505,ohc,six,209,mpfi,3.62,3.39,8.0,182,5400,15,20,36880.0,True,False,False,False,False,True,False,False,True,False,202.63736263736263,10.522111269614836,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,x3,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,bmw
19,2,chevrolet impala,88.4,141.1,60.3,53.2,1488,l,three,61,2bbl,2.91,3.03,9.5,48,5100,47,53,5151.0,True,False,True,False,True,False,False,True,False,False,107.3125,3.461693548387097,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,impala,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,chevrolet
20,1,chevrolet monte carlo,94.5,155.9,63.6,52.0,1874,ohc,four,90,2bbl,3.03,3.11,9.6,70,5400,38,43,6295.0,True,False,True,False,True,False,False,True,False,False,89.92857142857143,3.3591248665955176,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,monte carlo,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,chevrolet
21,0,chevrolet vega 2300,94.5,158.8,63.6,52.0,1909,ohc,four,90,2bbl,3.03,3.11,9.6,70,5400,38,43,6575.0,True,False,False,False,False,True,False,True,False,False,93.92857142857143,3.4442116291251965,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,vega 2300,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,chevrolet
22,1,dodge rampage,93.7,157.3,63.8,50.8,1876,ohc,four,90,2bbl,2.97,3.23,9.41,68,5500,37,41,5572.0,True,False,True,False,True,False,False,True,False,False,81.94117647058823,2.970149253731343,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,rampage,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,dodge
23,1,dodge challenger se,93.7,157.3,63.8,50.8,1876,ohc,four,90,2bbl,2.97,3.23,9.4,68,5500,31,38,6377.0,True,False,True,False,True,False,False,True,False,False,93.77941176470588,3.3992537313432836,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,challenger se,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,dodge
24,1,dodge d200,93.7,157.3,63.8,50.8,2128,ohc,four,98,mpfi,3.03,3.39,7.6,102,5500,24,30,7957.0,True,True,True,False,True,False,False,True,False,False,78.00980392156863,3.7391917293233083,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,d200,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,dodge
25,1,dodge monaco (sw),93.7,157.3,63.8,50.6,1967,ohc,four,90,2bbl,2.97,3.23,9.4,68,5500,31,38,6229.0,True,False,False,False,True,False,False,True,False,False,91.6029411764706,3.166751398068124,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,monaco (sw),False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,dodge
26,1,dodge colt hardtop,93.7,157.3,63.8,50.6,1989,ohc,four,90,2bbl,2.97,3.23,9.4,68,5500,31,38,6692.0,True,False,False,False,False,True,False,True,False,False,98.41176470588235,3.364504776269482,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,colt hardtop,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,dodge
27,1,dodge colt (sw),93.7,157.3,63.8,50.6,1989,ohc,four,90,2bbl,2.97,3.23,9.4,68,5500,31,38,7609.0,True,False,False,False,False,True,False,True,False,False,111.8970588235294,3.8255404725992963,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,colt (sw),False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,dodge
28,1,dodge coronet custom,93.7,157.3,63.8,50.6,2191,ohc,four,98,mpfi,3.03,3.39,7.6,102,5500,24,30,8558.0,True,True,True,False,False,True,False,True,False,False,83.90196078431373,3.9059790050205385,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,coronet custom,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,dodge
29,-1,dodge dart custom,103.3,174.6,64.6,59.8,2535,ohc,four,122,2bbl,3.34,3.46,8.5,88,5000,24,30,8921.0,True,False,False,False,False,False,True,True,False,False,101.375,3.5191321499013806,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,dart custom,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,dodge
30,3,dodge coronet custom (sw),95.9,173.2,66.3,50.2,2811,ohc,four,156,mfi,3.6,3.9,7.0,145,5000,19,24,12964.0,True,True,True,False,True,False,False,True,False,False,89.40689655172413,4.611881892564924,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,coronet custom (sw),False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,dodge
31,2,honda civic,86.6,144.6,63.9,50.8,1713,ohc,four,92,1bbl,2.91,3.41,9.6,58,4800,49,54,6479.0,True,False,True,False,True,False,False,True,False,False,111.70689655172414,3.78225335668418,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,civic,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,honda
32,2,honda civic cvcc,86.6,144.6,63.9,50.8,1819,ohc,four,92,1bbl,2.91,3.41,9.2,76,6000,31,38,6855.0,True,False,True,False,True,False,False,True,False,False,90.19736842105263,3.7685541506322155,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,civic cvcc,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,honda
33,1,honda civic,93.7,150.0,64.0,52.6,1837,ohc,four,79,1bbl,2.91,3.07,10.1,60,5500,38,42,5399.0,True,False,True,False,True,False,False,True,False,False,89.98333333333333,2.9390310288513883,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,civic,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,honda
34,1,honda accord cvcc,93.7,150.0,64.0,52.6,1940,ohc,four,92,1bbl,2.91,3.41,9.2,76,6000,30,34,6529.0,True,False,True,False,True,False,False,True,False,False,85.90789473684211,3.3654639175257732,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,accord cvcc,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,honda
35,1,honda civic cvcc,93.7,150.0,64.0,52.6,1956,ohc,four,92,1bbl,2.91,3.41,9.2,76,6000,30,34,7129.0,True,False,True,False,True,False,False,True,False,False,93.80263157894737,3.644683026584867,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,civic cvcc,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,honda
36,0,honda accord lx,96.5,163.4,64.0,54.5,2010,ohc,four,92,1bbl,2.91,3.41,9.2,76,6000,30,34,7295.0,True,False,False,False,False,True,False,True,False,False,95.98684210526316,3.629353233830846,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,accord lx,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,honda
37,0,honda civic 1500 gl,96.5,157.1,63.9,58.3,2024,ohc,four,92,1bbl,2.92,3.41,9.2,76,6000,30,34,7295.0,True,False,False,False,False,False,True,True,False,False,95.98684210526316,3.6042490118577075,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,civic 1500 gl,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,honda
38,0,honda accord,96.5,167.5,65.2,53.3,2236,ohc,four,110,1bbl,3.15,3.58,9.0,86,5800,27,33,7895.0,True,False,True,False,True,False,False,True,False,False,91.80232558139535,3.5308586762075134,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,accord,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,honda
39,0,honda civic 1300,96.5,167.5,65.2,53.3,2289,ohc,four,110,1bbl,3.15,3.58,9.0,86,5800,27,33,9095.0,True,False,True,False,True,False,False,True,False,False,105.75581395348837,3.9733508082131936,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,civic 1300,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,honda
40,0,honda prelude,96.5,175.4,65.2,54.1,2304,ohc,four,110,1bbl,3.15,3.58,9.0,86,5800,27,33,8845.0,True,False,False,False,False,True,False,True,False,False,102.84883720930233,3.8389756944444446,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,prelude,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,honda
41,0,honda accord,96.5,175.4,62.5,54.1,2372,ohc,four,110,1bbl,3.15,3.58,9.0,86,5800,27,33,10295.0,True,False,False,False,False,True,False,True,False,False,119.70930232558139,4.340219224283305,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,accord,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,honda
42,0,honda civic,96.5,175.4,65.2,54.1,2465,ohc,four,110,mpfi,3.15,3.58,9.0,101,5800,24,28,12945.0,True,False,False,False,False,True,False,True,False,False,128.16831683168317,5.251521298174442,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,civic,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,honda
43,1,honda civic (auto),96.5,169.1,66.0,51.0,2293,ohc,four,110,2bbl,3.15,3.58,9.1,100,5500,25,31,10345.0,True,False,True,False,False,True,False,True,False,False,103.45,4.51155691234191,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,civic (auto),False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,honda
44,0,isuzu mu-x,94.3,170.7,61.8,53.5,2337,ohc,four,111,2bbl,3.31,3.23,8.5,78,4800,24,29,6785.0,True,False,False,False,False,True,False,False,True,False,86.98717948717949,2.9032948224219086,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,mu-x,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,isuzu
45,1,isuzu d-max,94.5,155.9,63.6,52.0,1874,ohc,four,90,2bbl,3.03,3.11,9.6,70,5400,38,43,8916.5,True,False,True,False,False,True,False,True,False,False,127.37857142857143,4.758004268943436,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,d-max,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,isuzu
46,0,isuzu d-max v-cross,94.5,155.9,63.6,52.0,1909,ohc,four,90,2bbl,3.03,3.11,9.6,70,5400,38,43,8916.5,True,False,False,False,False,True,False,True,False,False,127.37857142857143,4.670770036668412,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,d-max v-cross,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,isuzu
47,2,isuzu d-max,96.0,172.6,65.2,51.4,2734,ohc,four,119,spfi,3.43,3.23,9.2,90,5000,24,29,11048.0,True,False,True,False,True,False,False,False,True,False,122.75555555555556,4.040965618141916,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,d-max,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,isuzu
48,0,jaguar xj,113.0,199.6,69.6,52.8,4066,dohc,six,258,mpfi,3.63,4.17,8.1,176,4750,15,19,32250.0,True,False,False,False,False,True,False,False,True,False,183.23863636363637,7.9316281357599605,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,xj,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,jaguar
49,0,jaguar xf,113.0,199.6,69.6,52.8,4066,dohc,six,258,mpfi,3.63,4.17,8.1,176,4750,15,19,35550.0,True,False,False,False,False,True,False,False,True,False,201.98863636363637,8.743236596163305,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,xf,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,jaguar
50,0,jaguar xk,102.0,191.7,70.6,47.8,3950,ohcv,twelve,326,mpfi,3.54,2.76,11.5,262,5000,13,17,36000.0,True,False,True,False,False,True,False,False,True,False,137.40458015267177,9.113924050632912,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,xk,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,jaguar
51,1,mazda rx3,93.1,159.1,64.2,54.1,1890,ohc,four,91,2bbl,3.03,3.15,9.0,68,5000,30,31,5195.0,True,False,True,False,True,False,False,True,False,False,76.3970588235294,2.748677248677249,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,rx3,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,mazda
52,1,mazda glc deluxe,93.1,159.1,64.2,54.1,1900,ohc,four,91,2bbl,3.03,3.15,9.0,68,5000,31,38,6095.0,True,False,True,False,True,False,False,True,False,False,89.63235294117646,3.207894736842105,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,glc deluxe,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,mazda
53,1,mazda rx2 coupe,93.1,159.1,64.2,54.1,1905,ohc,four,91,2bbl,3.03,3.15,9.0,68,5000,31,38,6795.0,True,False,True,False,True,False,False,True,False,False,99.92647058823529,3.5669291338582676,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,rx2 coupe,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,mazda
54,1,mazda rx-4,93.1,166.8,64.2,54.1,1945,ohc,four,91,2bbl,3.03,3.15,9.0,68,5000,31,38,6695.0,True,False,False,False,False,True,False,True,False,False,98.45588235294117,3.442159383033419,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,rx-4,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,mazda
55,1,mazda glc deluxe,93.1,166.8,64.2,54.1,1950,ohc,four,91,2bbl,3.08,3.15,9.0,68,5000,31,38,7395.0,True,False,False,False,False,True,False,True,False,False,108.75,3.792307692307692,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,glc deluxe,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,mazda
56,3,mazda 626,95.3,169.0,65.7,49.6,2380,rotor,two,70,4bbl,3.33,3.255,9.4,101,6000,17,23,10945.0,True,False,True,False,True,False,False,False,True,False,108.36633663366337,4.598739495798319,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,626,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,mazda
57,3,mazda glc,95.3,169.0,65.7,49.6,2380,rotor,two,70,4bbl,3.33,3.255,9.4,101,6000,17,23,11845.0,True,False,True,False,True,False,False,False,True,False,117.27722772277228,4.976890756302521,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,glc,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,mazda
58,3,mazda rx-7 gs,95.3,169.0,65.7,49.6,2385,rotor,two,70,4bbl,3.33,3.255,9.4,101,6000,17,23,13645.0,True,False,True,False,True,False,False,False,True,False,135.0990099009901,5.721174004192872,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,rx-7 gs,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,mazda
59,3,mazda glc 4,95.3,169.0,65.7,49.6,2500,rotor,two,80,mpfi,3.33,3.255,9.4,135,6000,16,23,15645.0,True,False,True,False,True,False,False,False,True,False,115.88888888888889,6.258,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,glc 4,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,mazda
60,1,mazda 626,98.8,177.8,66.5,53.7,2385,ohc,four,122,2bbl,3.39,3.39,8.6,84,4800,26,32,8845.0,True,False,True,False,True,False,False,True,False,False,105.29761904761905,3.708595387840671,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,626,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,mazda
61,0,mazda glc custom l,98.8,177.8,66.5,55.5,2410,ohc,four,122,2bbl,3.39,3.39,8.6,84,4800,26,32,8495.0,True,False,False,False,False,True,False,True,False,False,101.13095238095238,3.524896265560166,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,glc custom l,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,mazda
